省份,流域,断面名称,监测时间,水质类别,水温,pH,溶解氧,电导率,浊度,高锰酸盐指数,氨氮,总磷,总氮,叶绿素α,藻密度,站点情况
北京市,海河流域,沿河城,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
北京市,淮河流域,八间房漫水桥,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
北京市,海河流域,古北口,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
天津市,海河流域,三岔口,01-29 08:00,Ⅱ,5.05,7.7149,10.676,784.8552,4.232,2.38,0.22,0.0049,1.4296,--,--,正常
天津市,海河流域,果河桥,01-29 08:00,Ⅱ,5.5,8.71,18.798,709.192,6.6,2.7246,0.22,0.0416,7.4265,--,--,正常
河北省,海河流域,岗南水库,01-29 08:00,--,13.1513,8.78261,12.23513,585.6786,0.81108,--,0.01,--,--,--,--,维护
河北省,海河流域,八号桥,01-29 08:00,Ⅲ,1.08382,8.37013,11.50743,1577.845,37.90968,4.51,0.98,0.1405,11.505,--,--,正常
山西省,黄河流域,河津大桥,01-29 08:00,Ⅴ,7.87176,7.92488,11.55007,1694.207,100.548,5.85,1.68,--,--,--,--,正常
山西省,黄河流域,万家寨水库,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
内蒙古自治区,黄河流域,画匠营子,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
内蒙古自治区,黄河流域,海勃湾,01-29 08:00,Ⅱ,2.30712,8.45568,10.69726,844.8381,18.53463,1.73,0.3,--,--,--,--,正常
内蒙古自治区,松花江流域,黑山头,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
辽宁省,辽河流域,大伙房水库,01-29 08:00,Ⅰ,5.11896,7.70119,10.19667,312.8713,5.57541,1.36189,0.06,0.01701,2.9617,0.00105,--,正常
辽宁省,辽河流域,江桥,01-29 04:00,Ⅱ,9.4129,6.70125,9.28871,110,2.00006,1.53,0.034,0.02463,1.78253,--,--,正常
辽宁省,辽河流域,辽河公园,01-29 08:00,劣Ⅴ,5.36211,7.41231,12.45509,3185.71,66.90538,7.2035,2.12941,0.13216,9.55361,--,--,正常
辽宁省,辽河流域,汤河水库,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
辽宁省,辽河流域,盘锦兴安(兴安),--,--,--,--,--,--,--,--,--,--,--,--,--,停站
辽宁省,辽河流域,珠尔山,01-29 08:00,Ⅲ,0.83195,7.26218,11.50059,646.7949,8.81026,2.91705,0.87,0.07297,--,--,--,维护
吉林省,松花江流域,松花江村,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
吉林省,松花江流域,白沙滩,01-29 08:00,Ⅲ,3.16061,6.73858,13.46201,375.5063,26.37694,5.80822,0.21145,0.04223,1.46859,--,--,正常
吉林省,松花江流域,圈河,01-29 08:00,Ⅲ,9.8,7.21,8.48,349,15,4.2,0.18968,0.05908,2.68188,--,--,正常
黑龙江省,松花江流域,肇源,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
黑龙江省,松花江流域,乌苏镇,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
黑龙江省,松花江流域,同江,01-29 08:00,Ⅲ,3.44403,7.20835,12.5024,341.842,16.2669,4.51484,0.3534,0.0498,3.3236,--,--,正常
黑龙江省,松花江流域,黑河下(黑河),--,--,--,--,--,--,--,--,--,--,--,--,--,停站
上海市,长江流域,急水港桥,01-29 08:00,Ⅳ,8.9,7.38,6.95,681,230.9,4.1875,0.39804,0.06494,3.15805,0.00542,3749653,正常
江苏省,长江流域,林山,01-29 08:00,劣Ⅴ,10.477,7.87502,10.9617,364.391,22.9612,1.41,2.314,--,--,--,--,正常
江苏省,太湖流域,沙渚,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
江苏省,淮河流域,小红圈,01-29 08:00,Ⅱ,6.99,8.25,17.95,544.7,6.72,2.42,0.068,--,--,--,--,正常
江苏省,淮河流域,李集桥,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
江苏省,淮河流域,艾山西大桥,01-29 08:00,Ⅱ,6.06155,8.02462,13.1259,914.245,13.3862,3.39,0.09,0.02766,12.64906,--,--,正常
江苏省,太湖流域,兰山嘴(老),--,--,--,--,--,--,--,--,--,--,--,--,--,停站
江苏省,太湖流域,西山,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
江苏省,淮河流域,大兴桥,01-29 08:00,Ⅲ,6,7.47,11.2,982.9,73.09,5.53,0.296,--,--,--,--,正常
江苏省,淮河流域,淮河大桥,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
江苏省,长江流域,三江营,01-29 08:00,Ⅱ,10.05,8.03,10.61,359.88,34.53,1.73,0.126,0.089,1.992,--,--,正常
江苏省,淮河流域,大屈,01-29 08:00,Ⅲ,7.5,8.02,11.47,897.9,17.88,5.34,0.08,0.057,2.92,--,--,正常
浙江省,浙闽片河流,街口(鸠坑口),01-29 08:00,--,11.88,7.24,8.74,149.18,10.13,0.949,--,0.029,0.923,--,--,维护
浙江省,太湖流域,斜路港,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
浙江省,太湖流域,王江泾,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
浙江省,太湖流域,新港口(新塘港),01-29 08:00,Ⅱ,7.76855,8.15173,11.6187,399.446,81.909,2.79228,0.07004,0.08345,4.35187,0.02905,--,正常
安徽省,巢湖流域,湖滨(老),01-29 08:00,Ⅲ,8.15404,7.02345,12.4839,280.5276,35.88419,4.14,0.27,0.0365,1.823,0.00548,--,正常
安徽省,巢湖流域,裕溪口(老),01-29 08:00,Ⅳ,8.72756,7.62917,10.38082,306.6019,60.61256,1.57,0.16,0.0793,2.804,0.02202,--,正常
安徽省,淮河流域,蚌埠闸上(蚌埠闸),01-29 08:00,Ⅱ,8.16,8.3,13.06,626.06,59.99,3.759,0.245,0.061,2.515,--,--,正常
安徽省,淮河流域,石头埠(老),01-29 08:00,Ⅱ,5.98151,6.44255,6.26038,608.317,19.37827,3.69,0.21,--,--,--,--,正常
安徽省,淮河流域,小王桥,01-29 08:00,Ⅳ,5.56,8.28,10.9,1893.29,24.83,7.651,0.043,0.12,2.104,--,--,正常
安徽省,长江流域,皖河口,01-29 08:00,--,10.99,7.694,8.85,313.13,41.22,13.073,0.022,0.0634,2.019,--,--,维护
安徽省,淮河流域,小柳巷,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
安徽省,淮河流域,张大桥,01-29 08:00,--,7.9,8.1,12.64,2148.1,5.52,4.19,--,0.117,9.111,--,--,维护
安徽省,淮河流域,王家坝,01-29 08:00,Ⅲ,6.46,8.11892,14.40681,356.1844,23.01669,6,0.568,0.08415,1.97732,--,--,正常
安徽省,淮河流域,界首七渡口(七渡口),01-29 08:00,Ⅱ,6.19355,7.92967,7.9754,710.2996,15.79649,3.67,0.34,0.08379,6.36615,--,--,正常
安徽省,淮河流域,许庄(徐庄),01-29 08:00,Ⅱ,4.1,7.4,10.67,1104.9,10.56,2.61,0.04,0.031,3.981,--,--,正常
安徽省,淮河流域,杨庄,01-29 08:00,Ⅲ,8.24,7.83,8.79,1037.7,47.47,5.09,0.646,--,--,--,--,正常
安徽省,淮河流域,泗县公路桥,01-29 08:00,Ⅱ,6,8.12,11.9,952.4,19.09,3.9,0.07,--,--,--,--,正常
安徽省,淮河流域,颜集,01-29 08:00,Ⅲ,5.6,8.45,14.07,1718.4,360.19,4.69,0.47,0.123,4.797,--,--,正常
福建省,浙闽片河流,白岩潭,01-29 08:00,Ⅱ,15.41,7.49,9.18,1769.5,158.95,3.1,0.261,--,--,--,--,正常
